,cntrID,org_cntr_num,org_1s_sev,org_1s_sup_sev,sup_cntr_num,sup_cntr_avg_price,sup_cntr_avg_penalty,sup_no_pnl_share,sup_okpd_exp,sup_1s_sev,sup_1s_org_sev,sup_sim_price,sup_type,sup_status,org_form,org_type,price_higher_pmp,price_too_low,price,pmp,okpd,type_prod,cntr_lvl,sign_date,exec_date,cntr_result
1,1507036,278,0.0,0,10,2846997.0,0,1.0,1.0,0,0,0.0,3,-1,45,2,0,0,274565.2,408069.0,0,-1,1,20150113,20150612,1
2,1508792,496,0.0,0,57,171371.0,0,1.0,0.91228,0,0,0.0,3,-1,48,4,0,0,2697520.59,2697520.59,0,-1,1,20150123,20150331,1
3,1511347,1017,0.0,0,5,346973.0,0,0.4,0.4,0,0,0.0,0,-1,45,2,0,0,762174.0,762174.0,0,-1,1,20150212,20151231,1
5,1512363,1017,0.0,0,1,200400.0,0,1.0,1.0,0,0,0.0,0,-1,45,2,0,0,147000.0,147000.0,0,-1,1,20150224,20171231,1
8,1524747,528,0.00379,0,2,684600.0,0,1.0,1.0,0,0,0.0,3,-1,0,4,0,0,14500.0,14500.0,0,-1,1,20150706,20150930,1
10,1530084,140,0.0,0,1,62000.0,0,1.0,0.0,0,0,1.0,2,-1,8,1,0,0,70000.0,73750.0,493934000,12,1,20160304,20160421,1
11,1530596,588,0.0,0,7,282863.0,0,1.0,0.14286,0,0,0.14286,0,-1,0,4,0,0,414000.0,416400.0,192021121,7,1,20160211,20160331,1
12,1530596,588,0.0,0,7,282863.0,0,1.0,0.28570999999999996,0,0,0.14286,0,-1,0,4,0,0,414000.0,416400.0,192021323,7,1,20160211,20160331,1
14,1532617,92,0.0,0,31,257835.0,0,1.0,0.0,0,0,0.16129000000000002,3,-1,0,13,0,1,172903.0,419299.8,310912121,19,1,20160629,20160808,1
15,1532617,92,0.0,0,31,257835.0,0,1.0,0.032260000000000004,0,0,0.16129000000000002,3,-1,0,13,0,1,172903.0,419299.8,310912124,19,1,20160629,20160808,1
16,1532618,92,0.0,0,10,125535.0,0,1.0,0.0,0,0,0.1,0,-1,0,13,0,0,285367.88,388255.92,275115110,10,1,20160629,20160808,1
17,1532618,92,0.0,0,10,125535.0,0,1.0,0.0,0,0,0.1,0,-1,0,13,0,0,285367.88,388255.92,275124190,10,1,20160629,20160808,1
22,1533229,92,0.0,0,1,604293.0,0,1.0,0.0,0,0,0.0,0,-1,0,13,0,0,4320299.97,4320299.97,265143119,19,1,20160531,20160829,1
23,1534502,1017,0.0,0,1,550600.0,0,1.0,0.0,0,0,0.0,3,-1,13,2,0,1,20400.0,44000.0,661112190,14,1,20160114,20171231,1
28,1551885,278,0.0,0,7,1155737.0,0,1.0,0.0,0,0,0.14286,3,-1,0,2,0,0,337118.59,550012.5,531019000,19,1,20160112,20160831,1
29,1552616,143,0.0,0,3,899854.0,0,1.0,0.66667,0,0,0.33333,0,-1,0,2,0,0,2442015.0,2445000.0,801012000,19,1,20151231,20160630,1
30,1557965,143,0.0,0,1,310000.0,0,1.0,1.0,0,0,0.0,0,-1,0,2,0,0,620000.0,620000.0,493939000,12,1,20160229,20160630,1
31,1558616,278,0.0,0,1,79821.0,0,1.0,0.0,0,0,1.0,0,-1,0,2,0,0,81331.5,81331.5,381129000,19,1,20160229,20161231,1
32,1559174,528,0.00379,0,1,6355.0,0,1.0,0.0,0,0,0.0,2,-1,8,4,0,0,63550.0,63550.0,821913000,19,1,20160310,20161231,1
33,1559226,228,0.0,0,45,137695.0,0,1.0,0.17778,0,0,0.04444,0,-1,0,5,0,0,639345.0,639345.0,171214119,19,1,20160314,20160708,1
34,1561638,228,0.0,0,2,109718.0,0,1.0,0.0,0,0,0.5,0,-1,0,5,0,0,202042.3,203057.6,139229110,19,1,20160405,20160725,1
35,1561638,228,0.0,0,2,109718.0,0,1.0,0.0,0,0,0.5,0,-1,0,5,0,0,202042.3,203057.6,139229120,19,1,20160405,20160725,1
36,1561638,228,0.0,0,2,109718.0,0,1.0,0.0,0,0,0.5,0,-1,0,5,0,0,202042.3,203057.6,141230150,19,1,20160405,20160725,1
37,1561638,228,0.0,0,2,109718.0,0,1.0,0.0,0,0,0.5,0,-1,0,5,0,0,202042.3,203057.6,204131119,19,1,20160405,20160725,1
38,1561638,228,0.0,0,2,109718.0,0,1.0,0.0,0,0,0.5,0,-1,0,5,0,0,202042.3,203057.6,204131130,19,1,20160405,20160725,1
39,1561638,228,0.0,0,2,109718.0,0,1.0,0.0,0,0,0.5,0,-1,0,5,0,0,202042.3,203057.6,204132121,19,1,20160405,20160725,1
40,1561638,228,0.0,0,2,109718.0,0,1.0,0.0,0,0,0.5,0,-1,0,5,0,0,202042.3,203057.6,204144190,19,1,20160405,20160725,1
41,1561638,228,0.0,0,2,109718.0,0,1.0,0.0,0,0,0.5,0,-1,0,5,0,0,202042.3,203057.6,221960114,19,1,20160405,20160725,1
42,1561638,228,0.0,0,2,109718.0,0,1.0,0.0,0,0,0.5,0,-1,0,5,0,0,202042.3,203057.6,222211000,19,1,20160405,20160725,1
43,1563956,92,0.0,0,1,351778.0,0,1.0,0.0,0,0,0.0,0,-1,0,13,0,0,586232.0,590365.0,203024112,19,1,20160531,20160630,1
44,1563956,92,0.0,0,1,351778.0,0,1.0,0.0,0,0,0.0,0,-1,0,13,0,0,586232.0,590365.0,205210190,19,1,20160531,20160630,1
45,1563956,92,0.0,0,1,351778.0,0,1.0,0.0,0,0,0.0,0,-1,0,13,0,0,586232.0,590365.0,259314140,19,1,20160531,20160630,1
46,1570556,1017,0.0,0,5,844887.0,0,1.0,0.2,0,0,0.0,3,-1,167,2,0,0,378987.0,378987.0,521019000,12,1,20161003,20171231,1
47,1570566,278,0.0,0,4,443193.0,0,1.0,1.0,0,0,0.75,3,-1,13,2,0,0,609277.58,821935.48,812110000,19,1,20161003,20161231,1
48,1572185,278,0.0,0,4,443193.0,0,1.0,1.0,0,0,0.0,3,-1,13,2,0,0,48340.08,65161.0,812110000,19,1,20161031,20161231,1
49,1572809,630,0.00317,0,9,179540.0,0,1.0,0.33333,0,0,0.0,3,-1,13,1,0,0,646692.87,649942.58,581419000,16,1,20161108,20171231,1
55,1576398,1017,0.0,0,2,13414.0,0,1.0,0.0,0,0,0.0,3,1,13,2,0,0,600000.0,600000.0,661999190,14,1,20161223,20171231,1
56,1578427,630,0.00317,0,3,148426.0,0,1.0,0.0,0,0,0.0,0,-1,13,1,0,0,142200.0,151880.0,620312130,11,1,20170109,20171231,1
57,1578967,179,0.0,0,19,125004.0,0,1.0,0.0,0,0,0.0,3,-1,13,2,0,0,238000.0,238000.0,951110000,9,1,20170110,20171231,1
58,1578968,179,0.0,0,19,125004.0,0,1.0,0.0,0,0,0.052629999999999996,3,-1,13,2,0,0,220000.0,220000.0,951110000,9,1,20170110,20171231,1
59,1580330,179,0.0,0,31,1153602.0,0,1.0,0.22580999999999998,0,0,0.12903,0,-1,13,2,0,0,535810.0,535810.0,192021100,7,1,20170124,20171231,1
60,1580330,179,0.0,0,31,1153602.0,0,1.0,0.25806,0,0,0.12903,0,-1,13,2,0,0,535810.0,535810.0,192021125,7,1,20170124,20171231,1
61,1586962,179,0.0,0,5,271162.0,0,1.0,0.0,0,0,0.2,3,-1,13,2,0,0,124774.09,124774.09,639910190,11,1,20170313,20171231,1
63,1587188,306,0.0,0,1,299848.0,0,1.0,1.0,0,0,1.0,3,-1,47,4,0,0,256417.5,286500.0,331311000,19,1,20170314,20171231,1
64,1587738,2236,0.0,0,1,124242.0,0,1.0,1.0,0,0,0.0,3,1,13,5,0,1,33360.81,68786.63,266014120,3,1,20170317,20170925,1
65,1587740,2157,0.0,0,6,484451.0,0,1.0,0.8333299999999999,0,0,0.5,3,-1,13,1,0,0,547250.0,550000.0,932919000,19,1,20170317,20170427,1
67,1588211,189,0.0,0,15,279496.0,0,1.0,0.06667000000000001,0,0,0.2,0,-1,13,2,0,0,153903.0,153930.64,192021115,7,1,20170317,20171231,1
68,1588211,189,0.0,0,15,279496.0,0,1.0,0.13333,0,0,0.2,0,-1,13,2,0,0,153903.0,153930.64,192021315,7,1,20170317,20171231,1
69,1588211,189,0.0,0,15,279496.0,0,1.0,0.2,0,0,0.2,0,-1,13,2,0,0,153903.0,153930.64,192021125,7,1,20170317,20171231,1
71,1589174,413,0.00242,0,1,332626.0,0,1.0,0.0,0,0,0.0,0,-1,13,4,0,0,754210.0,758000.0,205941000,7,1,20170327,20171030,1
73,1589960,157,0.0,0,6,136871.0,0,1.0,0.16667,0,0,0.0,3,1,13,2,0,1,22333.5,150300.0,802010000,19,1,20170328,20171231,1
74,1590194,413,0.00242,0,10,137985.0,0,1.0,0.0,0,0,0.1,3,-1,166,4,0,0,90192.82,90200.0,712012000,19,1,20170329,20170929,1
80,1591027,35,0.0,0,3,54527.0,0,1.0,0.0,0,0,0.0,3,-1,13,4,0,0,246756.47,271161.05,101131110,1,1,20170403,20171031,1
81,1591027,35,0.0,0,3,54527.0,0,1.0,0.0,0,0,0.0,3,-1,13,4,0,0,246756.47,271161.05,101131140,1,1,20170403,20171031,1
82,1591027,35,0.0,0,3,54527.0,0,1.0,0.0,0,0,0.0,3,-1,13,4,0,0,246756.47,271161.05,101132110,1,1,20170403,20171031,1
83,1591028,35,0.0,0,41,129048.0,0,1.0,0.048780000000000004,0,0,0.048780000000000004,0,-1,13,4,0,0,11540.1,11540.1,105140113,1,1,20170403,20171031,1
84,1591030,35,0.0,0,41,129048.0,0,1.0,0.024390000000000002,0,0,0.19512000000000002,0,-1,13,4,0,0,62604.99,72375.75,101240121,1,1,20170403,20171031,1
85,1591030,35,0.0,0,41,129048.0,0,1.0,0.09756000000000001,0,0,0.19512000000000002,0,-1,13,4,0,0,62604.99,72375.75,101220110,1,1,20170403,20171031,1
86,1591248,333,0.0,0,2,22225.0,0,1.0,1.0,0,0,0.0,1,-1,8,2,0,0,11820.0,15926.0,452030000,12,1,20170405,20171220,1
88,1591532,2236,0.0,0,3,1077041.0,0,1.0,0.33333,0,0,0.0,3,-1,13,5,0,0,3483869.2,4645159.2,869019140,21,1,20170410,20171225,1
89,1592565,2236,0.0,0,1,611100.0,0,1.0,0.0,0,0,0.0,3,-1,63,5,0,0,30990.01,30990.01,325022126,20,1,20170417,20170925,1
90,1592565,2236,0.0,0,1,611100.0,0,1.0,0.0,0,0,0.0,3,-1,63,5,0,0,30990.01,30990.01,325023000,20,1,20170417,20170925,1
91,1592584,653,0.0,0,3,133866.0,0,1.0,0.33333,0,0,0.0,3,-1,13,4,0,0,450000.0,450000.0,452011000,12,1,20170417,20171231,1
93,1593442,653,0.0,0,3,49595.0,0,1.0,0.0,0,0,0.0,3,-1,13,4,0,0,150000.0,150000.0,452011000,12,1,20170424,20171231,1
94,1593700,189,0.0,0,5,133588.0,0,1.0,0.2,0,0,0.2,3,-1,48,2,0,0,213292.78,213292.78,619010150,19,1,20170425,20171231,1
95,1593701,189,0.0,0,5,133588.0,0,1.0,0.0,0,0,0.2,3,-1,48,2,0,0,20377.68,20377.68,631119000,11,1,20170425,20171231,1
97,1594203,770,0.0,0,2,1733250.0,0,1.0,1.0,0,0,0.0,3,-1,13,2,0,0,4605838.42,4605838.42,562919000,19,1,20170502,20171231,1
98,1594221,653,0.0,0,6,1751139.0,0,1.0,0.0,0,0,0.0,3,-1,13,4,0,0,200000.0,200000.0,951110190,-1,1,20170502,20171220,1
99,1594429,1017,0.0,0,8,1382016.0,0,1.0,0.5,0,0,0.125,3,-1,13,2,0,0,5000000.0,5000000.0,532019120,19,1,20170503,20171231,1
100,1594430,1017,0.0,0,1,26000.0,0,1.0,1.0,0,0,0.0,3,-1,37,2,0,0,110000.0,110000.0,854199000,15,1,20170503,20171225,1
101,1594624,653,0.0,0,4,65972.0,0,1.0,0.0,0,0,0.0,1,-1,8,4,0,0,75600.0,124950.0,381129000,19,1,20170503,20171215,1
103,1594833,613,0.0,0,1,114303.0,0,1.0,0.0,0,0,0.0,3,-1,13,1,0,0,2187961.0,2205737.67,265112190,19,1,20170505,20190525,1
105,1595172,2236,0.0,0,7,3499513.0,0,1.0,0.28570999999999996,0,0,0.0,3,-1,49,5,0,0,2259230.4,2259230.4,869019140,21,1,20170510,20171225,1
106,1595174,2236,0.0,0,7,3499513.0,0,1.0,0.28570999999999996,0,0,0.14286,3,-1,49,5,0,0,401032.8,556990.0,869019140,21,1,20170510,20171226,1
107,1595200,225,0.0,0,2,9028.0,0,1.0,0.5,0,0,0.0,0,-1,48,1,0,0,44217.1,49541.8,651221000,14,1,20170511,20171231,1
108,1595551,2236,0.0,0,1,124241.0,0,1.0,0.0,0,0,0.0,3,1,13,5,0,0,1594034.5,1594034.5,204215149,19,1,20170515,20171125,1
109,1595551,2236,0.0,0,1,124241.0,0,1.0,1.0,0,0,0.0,3,1,13,5,0,0,1594034.5,1594034.5,212023199,20,1,20170515,20171125,1
111,1595777,360,0.00556,0,6,109215.0,0,1.0,0.0,0,0,0.16667,3,-1,13,2,0,1,113649.04,289600.0,802010000,19,1,20170516,20171231,1
114,1596330,360,0.00556,0,2,44705.0,0,1.0,0.0,0,0,0.0,3,-1,13,2,1,0,50054.4,45504.0,862110120,21,1,20170519,20171231,1
117,1597196,1017,0.0,0,6,194964.0,0,1.0,0.0,0,0,0.0,0,-1,13,2,0,0,10940.0,10940.0,611030190,19,1,20170529,20171231,1
119,1597500,2236,0.0,0,1,124241.0,0,1.0,0.0,0,0,0.0,3,1,13,5,0,0,6158717.85,6622277.27,221971190,19,1,20170529,20171125,1
120,1597500,2236,0.0,0,1,124241.0,0,1.0,1.0,0,0,0.0,3,1,13,5,0,0,6158717.85,6622277.27,325013110,3,1,20170529,20171125,1
121,1597500,2236,0.0,0,1,124241.0,0,1.0,1.0,0,0,0.0,3,1,13,5,0,0,6158717.85,6622277.27,325013190,3,1,20170529,20171125,1
125,1597948,2236,0.0,0,1,7632734.0,0,1.0,1.0,0,0,1.0,3,1,13,5,0,0,7726439.72,8219616.8,325013190,3,1,20170604,20171125,1
126,1597956,1017,0.0,0,31,1153602.0,0,1.0,0.22580999999999998,0,0,0.06452000000000001,0,-1,13,2,1,0,2700916.0,2700025.62,192021100,7,1,20170605,20171231,1
